timeframe,group,segment,category,year,metric,value
full-year,hunt,age,55-64,2015,Recruits,32796.71468631887
full-year,hunt,age,55-64,2016,Recruits,13383.645868233243
full-year,hunt,age,55-64,2017,Recruits,12205.093615373446
full-year,hunt,age,55-64,2018,Recruits,11829.134719014626
full-year,all_sports,age,55-64,2016,churn,0.47453618218
full-year,fish,age,55-64,2016,churn,0.4801858268
full-year,hunt,age,55-64,2016,churn,0.37106783913999997
full-year,hunt,age,55-64,2015,Participants,36293.37626668019
full-year,hunt,age,55-64,2016,Participants,37389.4613325838
full-year,hunt,age,55-64,2017,Participants,38485.54639848787
full-year,hunt,age,55-64,2018,Participants,39581.63146439148
full-year,all_sports,All,All,2010,churn,0.5355581861600001
full-year,all_sports,All,All,2011,churn,0.54026822253
full-year,all_sports,All,All,2012,churn,0.5522262501099999
full-year,all_sports,All,All,2013,churn,0.53621782476
full-year,all_sports,All,All,2014,churn,0.54925062114
full-year,all_sports,All,All,2015,churn,0.53772385646
full-year,all_sports,All,All,2017,churn,0.53316168664
full-year,all_sports,All,All,2018,churn,0.52361741926
full-year,all_sports,All,All,2009,Participants,1122681
full-year,all_sports,All,All,2010,Participants,1262832
full-year,all_sports,All,All,2011,Participants,1380101
full-year,all_sports,All,All,2012,Participants,1403991
full-year,all_sports,All,All,2013,Participants,1522194
full-year,all_sports,All,All,2014,Participants,1569365
full-year,all_sports,All,All,2015,Participants,1673464
full-year,all_sports,All,All,2016,Participants,1670874
full-year,all_sports,All,All,2017,Participants,1654605
full-year,all_sports,All,All,2018,Participants,1643359
full-year,all_sports,All,All,2014,Recruits,522148
full-year,all_sports,All,All,2015,Recruits,553313
full-year,all_sports,All,All,2016,Recruits,516265
full-year,all_sports,All,All,2017,Recruits,494744
full-year,all_sports,All,All,2018,Recruits,476234
full-year,fish,All,All,2010,churn,0.55800907571
full-year,fish,All,All,2011,churn,0.55941468843
full-year,fish,All,All,2012,churn,0.56936426355
full-year,fish,All,All,2013,churn,0.5515651635500001
full-year,fish,All,All,2014,churn,0.56311593341
full-year,fish,All,All,2015,churn,0.5498254579499999
full-year,fish,All,All,2017,churn,0.5433384452800001
full-year,fish,All,All,2018,churn,0.53299398101
full-year,fish,All,All,2009,Participants,1074737
full-year,fish,All,All,2010,Participants,1215011
full-year,fish,All,All,2011,Participants,1335695
full-year,fish,All,All,2012,Participants,1359794
full-year,fish,All,All,2013,Participants,1479056
full-year,fish,All,All,2014,Participants,1528285
full-year,fish,All,All,2015,Participants,1636096
full-year,fish,All,All,2016,Participants,1635384
full-year,fish,All,All,2017,Participants,1620538
full-year,fish,All,All,2018,Participants,1610136
full-year,fish,All,All,2014,Recruits,520471
full-year,fish,All,All,2015,Recruits,552551
full-year,fish,All,All,2016,Recruits,514990
full-year,fish,All,All,2017,Recruits,493566
